Kategorie,Podkategorie,Nutné,Poznámka,Fáze,Prvek / Úkol,Plán (Kč),Vůle (%),Plán (dní),Datum od,Datum do,Skutečnost (Kč),Skutečnost (hod),Zbývá v rozpočtu,Čerpání (%)
"Projekt, povolení a příprava",Statický posudek,,,Příprava,,25 000 Kč,50%,21,,,,,,
,Architekt - Studie,,,Příprava,,50 000 Kč,,,10.8.2026,1.2.2027,,,,
,Architekt - Koncept,,,Příprava,,40 000 Kč,,,,1.2.2027,,,,
,Architekt - Projekt,,Projektová dokumentace (?),Příprava,,150 000 Kč,20%,,,1.2.2027,,,,
,Povolení na SÚ,,Zprocesování stavebním úřadem,Neurčeno,,20 000 Kč,5%,,,,,,,
,Průkaz energetické náročnosti (PENB),FALSE,Pro dotace Zelená úsporám,Neurčeno,,25 000 Kč,,,,,,,,
Demoliční práce,Demoliční práce,,56 m2 + 21 m2 spodek ; 56 m2 horní patro,Demolice,,100 000 Kč,50%,60,20.8.2026,1.2.2027,,,,
,Kontejnery,,,Demolice,,100 000 Kč,50%,,20.8.2026,1.2.2027,,,,
,Demolice topení,,,Demolice,,20 000 Kč,50%,2,1.2.2027,7.2.2027,,,,
Hrubá stavba,Zpevnění - materiál (železné I profily),,"1200,- / m (1 profil)",Hrubá stavba,,20 000 Kč,15%,,,1.2.2027,,,,
,Zpevnění - práce,,Instalace I profilů,Hrubá stavba,,50 000 Kč,10%,4,,1.2.2027,,,,
,Hydroizolace - projekt,,HW Systém / Podřezání / Injektáž,Hrubá stavba,,157 000 Kč,30%,,,1.2.2027,,,,
,Hrubé podlahy - práce,,,Hrubá stavba,,,,25,7.2.2027,1.5.2027,,,,
,Hrubé podlahy - štěrk,,,Hrubá stavba,,,,,7.2.2027,1.5.2027,,,,
,Hrubé podlahy - izolace,,"450,- / m2",Hrubá stavba,,30 000 Kč,,,7.2.2027,1.5.2027,,,,
,Hrubé podlahy - beton,,,Hrubá stavba,,20 000 Kč,,,,,,,,
,Hrubé podlahy - samonivelační beton,,"37,- / m2 (1 mm)",Hrubá stavba,,20 000 Kč,,,7.2.2027,1.5.2027,,,,
,Vnitřní omítky - materiál,,"300,- / m2 (celkem 300 m2)",Hrubá stavba,,100 000 Kč,,,7.2.2027,1.5.2027,,,,
,Vnitřní omítky - práce,,,Hrubá stavba,,120 000 Kč,,14,7.2.2027,1.5.2027,,,,
,Sádrokarton - materiál,,stěny (4 m dole + 14 m nahoře) a stropy (56 m2),Zabydlování,,50 000 Kč,20%,,7.2.2027,1.5.2027,,,,
,Sádrokarton - práce,,,Zabydlování,,25 000 Kč,,5,7.2.2027,1.5.2027,,,,
Rozvody a sítě,Studna - vyčištění,FALSE,,Neurčeno,,16 000 Kč,,1,,31.12.2029,,,,
,Vodovod - oprava,,,Příprava,,,,,20.8.2026,1.10.2027,,,,
,Odpady - materiál,,Svépomoci,Hrubá stavba,,20 000 Kč,,7,1.2.2027,1.5.2027,,,,
,Spojení studny s vodovodem,,,Hrubá stavba,,10 000 Kč,,,,1.5.2027,,,,
,Rozvody vody,,Svépomoci,Hrubá stavba,,75 000 Kč,50%,7,1.2.2027,1.5.2027,,,,
,Elektroinstalace - elektrická - projekt,,Částrečně svépomoci,Hrubá stavba,,200 000 Kč,,14,1.2.2027,1.5.2027,,,,
,Elektroinstalace - datová,,Svépomoci,Hrubá stavba,,20 000 Kč,,2,1.2.2027,1.5.2027,,,,
,Rekuperace ???,FALSE,,Hrubá stavba,,200 000 Kč,100%,,1.2.2027,1.5.2027,,,,
Udržování teploty,Tepelné čerpadlo (vzduch/voda),,,Hrubá stavba,,400 000 Kč,50%,3,1.2.2027,1.5.2027,,,,
,Podlahové topení - projekt,,"2000,- / m2 (pouze obytná spodní část)",Hrubá stavba,,200 000 Kč,50%,10,1.2.2027,1.5.2027,,,,
,Expanzní nádrž,,100 l,Hrubá stavba,,5 000 Kč,,,1.2.2027,1.5.2027,,,,
,Krbová kamna,FALSE,,Do budoucna,,50 000 Kč,,,,31.12.2029,,,,
,Klimatizace - materiál,FALSE,,Zabydlování,,40 000 Kč,,,,31.12.2029,,,,
,Klimatizace - práce,FALSE,,Zabydlování,,10 000 Kč,,5,,31.12.2029,,,,
,Izolace střechy - materiál,,"600,- / m2",Hrubá stavba,,50 000 Kč,25%,,,1.10.2027,,,,
,Izolace střechy - práce,,,Hrubá stavba,,35 000 Kč,,7,,1.10.2027,,,,
,Izolace obvodových zdí,FALSE,,Do budoucna,,,,10,,31.12.2029,,,,
,Bojler,,120l,Zabydlování,,20 000 Kč,50%,1,1.2.2027,1.5.2027,,,,
,Vnější omítka,FALSE,,Do budoucna,,,,10,,31.12.2029,,,,
Okna,Balkónová okna,,spodek + terasa,Hrubá stavba,,40 000 Kč,100%,1,20.8.2026,1.2.2027,,,,
,Plastová okna,,cca 4,Hrubá stavba,,30 000 Kč,50%,1,20.8.2026,1.2.2027,,,,
Podlaha,Podlahy,,,Hrubá stavba,,200 000 Kč,,5,7.2.2027,1.5.2027,,,,
Vybavení,Kuchyň,FALSE,Siko slevy + svépomoci - organicky,Zabydlování,,100 000 Kč,,,7.2.2027,1.10.2027,,,,
,Koupelna,FALSE,Siko slevy + svépomoci - organicky,Zabydlování,,100 000 Kč,,,7.2.2027,1.10.2027,,,,
,Pokoj,FALSE,organicky,Zabydlování,,100 000 Kč,,,7.2.2027,1.10.2027,,,,
,Ložnice,FALSE,organicky,Zabydlování,,100 000 Kč,,,7.2.2027,1.10.2027,,,,
,Dětský pokoj,FALSE,organicky,Zabydlování,,100 000 Kč,,,1.10.2027,31.12.2029,,,,
,Hezké interiérové prvky,FALSE,organicky,Do budoucna,,,,,,31.12.2029,,,,
